"date","country","ticker","field","value"
2005-03-31,"India","MXIN Index","PX_TO_BOOK_RATIO",3.938
2005-03-31,"India","MXIN Index","PX_TO_CASH_FLOW",12.1361
2005-03-31,"India","MXIN Index","PX_TO_FREE_CASH_FLOW",20.6016
2005-03-31,"India","MXIN Index","PX_TO_SALES_RATIO",1.9328
2005-03-31,"India","MXIN Index","RETURN_COM_EQY",21.1063
2005-03-31,"India","MXIN Index","RETURN_ON_ASSET",4.5435
2005-03-31,"India","MXIN Index","TRAIL_12M_EPS",14.239
2005-03-31,"Indonesia","MXID Index","PE_RATIO",12.0176
2005-03-31,"Indonesia","MXID Index","PROF_MARGIN",14.1501
2005-03-31,"Indonesia","MXID Index","PX_TO_BOOK_RATIO",3.266
2005-03-31,"Indonesia","MXID Index","PX_TO_CASH_FLOW",6.3548
2005-03-31,"Indonesia","MXID Index","PX_TO_FREE_CASH_FLOW",16.492
2005-03-31,"Indonesia","MXID Index","PX_TO_SALES_RATIO",1.8391
2005-03-31,"Indonesia","MXID Index","RETURN_COM_EQY",25.1278
2005-03-31,"Indonesia","MXID Index","RETURN_ON_ASSET",5.1413
2005-03-31,"Indonesia","MXID Index","TRAIL_12M_EPS",108.9375
2005-03-31,"Malaysia","MXMY Index","PE_RATIO",15.1052
2005-03-31,"Malaysia","MXMY Index","PROF_MARGIN",12.3894
2005-03-31,"Malaysia","MXMY Index","PX_TO_BOOK_RATIO",1.8717
2005-03-31,"Malaysia","MXMY Index","PX_TO_CASH_FLOW",8.9762
2005-03-31,"Malaysia","MXMY Index","PX_TO_FREE_CASH_FLOW",22.2815
2005-03-31,"Malaysia","MXMY Index","PX_TO_SALES_RATIO",1.8791
2005-03-31,"Malaysia","MXMY Index","RETURN_COM_EQY",12.341
2005-03-31,"Malaysia","MXMY Index","RETURN_ON_ASSET",2.609
2005-03-31,"Malaysia","MXMY Index","TRAIL_12M_EPS",21.0616
2005-03-31,"Mexico","MXMX Index","BEST_EPS",215.7199
2005-03-31,"Mexico","MXMX Index","BEST_PE_RATIO",12.254
2005-03-31,"Mexico","MXMX Index","PE_RATIO",12.3994
2005-03-31,"Mexico","MXMX Index","PROF_MARGIN",11.7199
2005-03-31,"Mexico","MXMX Index","PX_TO_BOOK_RATIO",2.3747
2005-03-31,"Mexico","MXMX Index","PX_TO_CASH_FLOW",6.4379
2005-03-31,"Mexico","MXMX Index","PX_TO_FREE_CASH_FLOW",9.6587
2005-03-31,"Mexico","MXMX Index","PX_TO_SALES_RATIO",1.4379
2005-03-31,"Mexico","MXMX Index","RETURN_COM_EQY",19.3528
2005-03-31,"Mexico","MXMX Index","RETURN_ON_ASSET",6.9233
2005-03-31,"Mexico","MXMX Index","TRAIL_12M_EPS",199.6888
2005-03-31,"Philippines","MXPH Index","PE_RATIO",12.9768
2005-03-31,"Philippines","MXPH Index","PROF_MARGIN",11.3954
2005-03-31,"Philippines","MXPH Index","PX_TO_BOOK_RATIO",1.9685
2005-03-31,"Philippines","MXPH Index","PX_TO_CASH_FLOW",13.1774
2005-03-31,"Philippines","MXPH Index","PX_TO_SALES_RATIO",1.4688
2005-03-31,"Philippines","MXPH Index","RETURN_COM_EQY",14.9732
2005-03-31,"Philippines","MXPH Index","RETURN_ON_ASSET",3.3195
2005-03-31,"Philippines","MXPH Index","TRAIL_12M_EPS",29.0758
2005-03-31,"Poland","MXPL Index","PE_RATIO",13.7143
2005-03-31,"Poland","MXPL Index","PROF_MARGIN",9.963
2005-03-31,"Poland","MXPL Index","PX_TO_BOOK_RATIO",2.1969
2005-03-31,"Poland","MXPL Index","PX_TO_CASH_FLOW",10.9224
2005-03-31,"Poland","MXPL Index","PX_TO_FREE_CASH_FLOW",8.2747
2005-03-31,"Poland","MXPL Index","PX_TO_SALES_RATIO",1.3467
2005-03-31,"Poland","MXPL Index","RETURN_COM_EQY",16.2528
2005-03-31,"Poland","MXPL Index","RETURN_ON_ASSET",3.559
2005-03-31,"Poland","MXPL Index","TRAIL_12M_EPS",107.7194
2005-03-31,"South Africa","MXZA Index","PE_RATIO",16.8146
2005-03-31,"South Africa","MXZA Index","PROF_MARGIN",6.8261
2005-03-31,"South Africa","MXZA Index","PX_TO_BOOK_RATIO",2.2473
2005-03-31,"South Africa","MXZA Index","PX_TO_CASH_FLOW",9.0697
2005-03-31,"South Africa","MXZA Index","PX_TO_FREE_CASH_FLOW",27.0741
2005-03-31,"South Africa","MXZA Index","PX_TO_SALES_RATIO",1.1657
2005-03-31,"South Africa","MXZA Index","RETURN_COM_EQY",13.1602
2005-03-31,"South Africa","MXZA Index","RETURN_ON_ASSET",2.2103
2005-03-31,"South Africa","MXZA Index","TRAIL_12M_EPS",22.5916
2005-03-31,"South Korea","MXKR Index","PX_TO_BOOK_RATIO",1.5456
2005-03-31,"Taiwan","TAMSCI Index","PX_TO_BOOK_RATIO",2.0907
2005-03-31,"Taiwan","TAMSCI Index","TRAIL_12M_EPS",16.3694
2005-03-31,"Thailand","MXTH Index","PE_RATIO",10.7593
2005-03-31,"Thailand","MXTH Index","PROF_MARGIN",15.4325
2005-03-31,"Thailand","MXTH Index","PX_TO_BOOK_RATIO",2.3757
2005-03-31,"Thailand","MXTH Index","PX_TO_CASH_FLOW",6.842
2005-03-31,"Thailand","MXTH Index","PX_TO_FREE_CASH_FLOW",17.6017
2005-03-31,"Thailand","MXTH Index","PX_TO_SALES_RATIO",1.6515
2005-03-31,"Thailand","MXTH Index","RETURN_COM_EQY",22.0922
2005-03-31,"Thailand","MXTH Index","RETURN_ON_ASSET",3.9548
2005-03-31,"Thailand","MXTH Index","TRAIL_12M_EPS",24.402
2005-03-31,"Turkey","MXTR Index","PE_RATIO",11.1196
2005-03-31,"Turkey","MXTR Index","PROF_MARGIN",7.8386
2005-03-31,"Turkey","MXTR Index","PX_TO_BOOK_RATIO",1.5483
2005-03-31,"Turkey","MXTR Index","PX_TO_SALES_RATIO",0.8671
2005-03-31,"Turkey","MXTR Index","RETURN_COM_EQY",13.9971
2005-03-31,"Turkey","MXTR Index","RETURN_ON_ASSET",3.1486
2005-03-31,"Turkey","MXTR Index","TRAIL_12M_EPS",38336.2647
2005-04-29,"Brazil","MXBR Index","PE_RATIO",10.6155
2005-04-29,"Brazil","MXBR Index","PROF_MARGIN",15.7975
2005-04-29,"Brazil","MXBR Index","PX_TO_BOOK_RATIO",2.924
2005-04-29,"Brazil","MXBR Index","PX_TO_CASH_FLOW",7.6286
2005-04-29,"Brazil","MXBR Index","PX_TO_FREE_CASH_FLOW",17.5704
2005-04-29,"Brazil","MXBR Index","PX_TO_SALES_RATIO",1.6765
2005-04-29,"Brazil","MXBR Index","RETURN_COM_EQY",27.5517
2005-04-29,"Brazil","MXBR Index","RETURN_ON_ASSET",7.5811
2005-04-29,"Brazil","MXBR Index","TRAIL_12M_EPS",97.383
2005-04-29,"Greece","MXGR Index","PE_RATIO",18.3612
2005-04-29,"Greece","MXGR Index","PROF_MARGIN",9.2859
2005-04-29,"Greece","MXGR Index","PX_TO_BOOK_RATIO",2.5074
2005-04-29,"Greece","MXGR Index","PX_TO_SALES_RATIO",1.7047
2005-04-29,"Greece","MXGR Index","RETURN_COM_EQY",13.6585
2005-04-29,"Greece","MXGR Index","RETURN_ON_ASSET",1.5188
2005-04-29,"Greece","MXGR Index","TRAIL_12M_EPS",4.6733
2005-04-29,"India","MXIN Index","PE_RATIO",16.9596
2005-04-29,"India","MXIN Index","PROF_MARGIN",10.3592
2005-04-29,"India","MXIN Index","PX_TO_BOOK_RATIO",3.2676
2005-04-29,"India","MXIN Index","PX_TO_CASH_FLOW",11.4937
2005-04-29,"India","MXIN Index","PX_TO_FREE_CASH_FLOW",19.5111
2005-04-29,"India","MXIN Index","PX_TO_SALES_RATIO",1.8304
2005-04-29,"India","MXIN Index","RETURN_COM_EQY",17.9438
2005-04-29,"India","MXIN Index","RETURN_ON_ASSET",3.9501
2005-04-29,"India","MXIN Index","TRAIL_12M_EPS",108.6017
2005-04-29,"Indonesia","MXID Index","PE_RATIO",10.546
2005-04-29,"Indonesia","MXID Index","PROF_MARGIN",13.8056
2005-04-29,"Indonesia","MXID Index","PX_TO_BOOK_RATIO",2.6543
2005-04-29,"Indonesia","MXID Index","PX_TO_CASH_FLOW",4.7978
2005-04-29,"Indonesia","MXID Index","PX_TO_FREE_CASH_FLOW",16.9014
2005-04-29,"Indonesia","MXID Index","PX_TO_SALES_RATIO",1.445
2005-04-29,"Indonesia","MXID Index","RETURN_COM_EQY",25.3586
2005-04-29,"Indonesia","MXID Index","RETURN_ON_ASSET",4.8532
2005-04-29,"Indonesia","MXID Index","TRAIL_12M_EPS",126.0727
2005-04-29,"Malaysia","MXMY Index","PE_RATIO",15.1772
2005-04-29,"Malaysia","MXMY Index","PROF_MARGIN",12.5339
2005-04-29,"Malaysia","MXMY Index","PX_TO_BOOK_RATIO",1.8983
2005-04-29,"Malaysia","MXMY Index","PX_TO_CASH_FLOW",9.2914
2005-04-29,"Malaysia","MXMY Index","PX_TO_FREE_CASH_FLOW",23.3187
2005-04-29,"Malaysia","MXMY Index","PX_TO_SALES_RATIO",1.9096
2005-04-29,"Malaysia","MXMY Index","RETURN_COM_EQY",12.459
2005-04-29,"Malaysia","MXMY Index","RETURN_ON_ASSET",2.7053
2005-04-29,"Malaysia","MXMY Index","TRAIL_12M_EPS",21.0616
2005-04-29,"Mexico","MXMX Index","BEST_EPS",215.7199
2005-04-29,"Mexico","MXMX Index","BEST_PE_RATIO",11.9721
2005-04-29,"Mexico","MXMX Index","PE_RATIO",6.9615
2005-04-29,"Mexico","MXMX Index","PROF_MARGIN",13.4943
2005-04-29,"Mexico","MXMX Index","PX_TO_BOOK_RATIO",0.6792
2005-04-29,"Mexico","MXMX Index","PX_TO_CASH_FLOW",4.2194
2005-04-29,"Mexico","MXMX Index","PX_TO_FREE_CASH_FLOW",6.2096
2005-04-29,"Mexico","MXMX Index","PX_TO_SALES_RATIO",0.9394
2005-04-29,"Mexico","MXMX Index","RETURN_COM_EQY",9.756
2005-04-29,"Mexico","MXMX Index","RETURN_ON_ASSET",3.077
2005-04-29,"Mexico","MXMX Index","TRAIL_12M_EPS",333.1078
2005-04-29,"Philippines","MXPH Index","PE_RATIO",10.9995
2005-04-29,"Philippines","MXPH Index","PROF_MARGIN",9.9125
2005-04-29,"Philippines","MXPH Index","PX_TO_BOOK_RATIO",1.8471
2005-04-29,"Philippines","MXPH Index","PX_TO_CASH_FLOW",8.4462
2005-04-29,"Philippines","MXPH Index","PX_TO_FREE_CASH_FLOW",15.9498
2005-04-29,"Philippines","MXPH Index","PX_TO_SALES_RATIO",1.4118
2005-04-29,"Philippines","MXPH Index","RETURN_COM_EQY",12.9407
2005-04-29,"Philippines","MXPH Index","RETURN_ON_ASSET",2.6821
2005-04-29,"Philippines","MXPH Index","TRAIL_12M_EPS",26.2998
2005-04-29,"Poland","MXPL Index","PE_RATIO",12.0511
2005-04-29,"Poland","MXPL Index","PROF_MARGIN",10.4257
2005-04-29,"Poland","MXPL Index","PX_TO_BOOK_RATIO",1.9451
2005-04-29,"Poland","MXPL Index","PX_TO_CASH_FLOW",9.4302
2005-04-29,"Poland","MXPL Index","PX_TO_FREE_CASH_FLOW",6.9979
2005-04-29,"Poland","MXPL Index","PX_TO_SALES_RATIO",1.2349
2005-04-29,"Poland","MXPL Index","RETURN_COM_EQY",16.4212
2005-04-29,"Poland","MXPL Index","RETURN_ON_ASSET",3.9188
2005-04-29,"Poland","MXPL Index","TRAIL_12M_EPS",117.0628
2005-04-29,"South Africa","MXZA Index","PE_RATIO",11.6349
2005-04-29,"South Africa","MXZA Index","PROF_MARGIN",7.863
2005-04-29,"South Africa","MXZA Index","PX_TO_BOOK_RATIO",2.3242
2005-04-29,"South Africa","MXZA Index","PX_TO_CASH_FLOW",9.5562
