date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2018-04-30,0.0245159946581813,0.0245159946581813,0.014602017783384547,0,0.0,13,False,False,Poland|South Korea|Thailand
2018-05-30,-0.0729292005172776,-0.0729292005172776,,0,0.0,1,False,False,Poland|South Korea|Thailand
2018-06-29,-0.06389198435609554,-0.06389198435609554,-0.04490483710214532,0,0.0,13,False,False,Poland|South Korea|Thailand
2018-07-31,0.0553215474956061,0.0553215474956061,0.018383979696353192,0,0.0,13,False,False,Poland|South Korea|Thailand
2018-09-28,0.007561026709188168,0.007561026709188168,-0.01012343808123517,0,0.0,13,False,False,Poland|South Korea|Thailand
2018-10-31,-0.0826072645315891,-0.0826072645315891,-0.0643204744667567,0,0.0,13,False,False,Poland|South Korea|Thailand
2018-12-28,-0.029906522421254172,-0.029906522421254172,,0,0.0,5,False,False,Poland|South Korea|Thailand
2019-03-29,-0.011189792793919101,-0.011189792793919101,0.022979506071095335,0,0.0,12,False,False,Poland|South Korea|Thailand
2019-04-30,0.014133984256659434,0.014133984256659434,0.01934034788741079,0,0.0,12,False,False,Poland|South Korea|Thailand
2019-05-31,-0.013054951154437264,-0.018454951154437266,-0.06547791598406238,4,0.0054,14,True,True,Brazil|Greece|South Korea
2019-06-28,0.045028821013089665,0.045028821013089665,0.041426691533906324,0,0.0,13,False,False,Brazil|Greece|South Korea
2019-07-31,0.008223835148980665,0.008223835148980665,0.007975601622878248,0,0.0,13,False,False,Brazil|Greece|South Korea
2019-10-31,0.03678537454071667,0.03678537454071667,0.01904929022113766,0,0.0,13,False,False,Brazil|Greece|South Korea
2019-11-29,0.005040688120911736,-0.00035931187908826417,0.009878499771216687,4,0.0054,14,True,True,Brazil|Poland|Turkey
2020-01-31,-0.026782321427615496,-0.026782321427615496,-0.03334986744641688,0,0.0,15,True,True,Brazil|Poland|Turkey
2020-03-31,-0.2575134463079563,-0.2575134463079563,-0.15959881763792627,0,0.0,14,False,False,Brazil|Poland|Turkey
2020-03-31,-0.2575134463079563,-0.2575134463079563,-0.15959881763792627,0,0.0,1,False,False,Brazil|Poland|Turkey
2020-05-29,0.05924351928974647,0.05924351928974647,-0.005408362430581515,0,0.0,14,False,False,Brazil|Poland|Turkey
2020-06-30,0.04384153765365897,0.04384153765365897,0.06128043293905061,0,0.0,1,False,False,Brazil|Poland|Turkey
2020-07-30,-0.131470664299481,-0.131470664299481,,0,0.0,4,False,False,Brazil|Poland|Turkey
2021-01-29,-0.017345371035543535,-0.020045371035543536,0.035374090654435975,2,0.0027,13,True,True,Indonesia|Poland|Turkey
2021-03-31,-0.0598618229786995,-0.0598618229786995,0.01587406892214971,0,0.0,1,False,False,Indonesia|Poland|Turkey
2021-05-31,0.06217909500276473,0.05947909500276473,0.006574117880954633,2,0.0027,14,True,True,Brazil|Indonesia|Poland
2021-06-30,0.007568552534842368,0.007568552534842368,0.036365098912099825,0,0.0,15,False,False,Brazil|Indonesia|Poland
2021-07-30,-0.024677807167471328,-0.024677807167471328,-0.061667023082018324,0,0.0,15,False,False,Brazil|Indonesia|Poland
2021-09-30,-0.0411310446904049,-0.0411310446904049,-0.017681202239925864,0,0.0,15,False,False,Brazil|Indonesia|Poland
2021-12-30,0.02928764544415105,0.02928764544415105,,0,0.0,5,False,False,Brazil|Indonesia|Poland
2022-02-25,0.0519739181979846,0.0519739181979846,,0,0.0,2,False,False,Brazil|Indonesia|Poland
2022-03-31,0.09284848593736816,0.09014848593736817,-0.005612562996979764,2,0.0027,15,True,True,Brazil|Poland|Turkey
