date,holdings,n_countries,rebalanced,is_active,n_trades,gross_return,net_return,benchmark
2009-06-30,Indonesia|Taiwan|Turkey,11,True,True,3,0.009231016484738968,0.005181016484738968,-0.007314913185275884
2009-07-31,South Africa|Taiwan|Turkey,12,True,True,2,0.1110810973530874,0.1083810973530874,0.09901408961321945
2009-09-30,Mexico|Taiwan|Turkey,12,True,True,2,0.037136249973659365,0.034436249973659364,0.0672084790716787
2009-10-30,Mexico|Taiwan|Turkey,12,True,True,0,-0.029269932529904067,-0.029269932529904067,-0.00446015719867543
2009-11-26,Mexico|Taiwan|Turkey,1,False,False,0,-0.078943421340438,-0.078943421340438,
2010-01-29,Mexico|Poland|Taiwan,12,True,True,2,-0.016430839161397665,-0.019130839161397666,-0.02337709107113206
2010-03-31,Mexico|Poland|Taiwan,12,True,True,0,0.1012116015770898,0.1012116015770898,0.08716299838530883
2010-04-30,Mexico|Poland|Taiwan,12,True,True,0,0.024493156364197164,0.024493156364197164,0.0335879901579057
2010-05-31,Mexico|Poland|Taiwan,12,True,True,0,-0.03220242248114177,-0.03220242248114177,-0.017642792558048237
2010-07-30,Mexico|Poland|Taiwan,12,True,True,0,0.04016173297372417,0.04016173297372417,0.01623685891760318
2010-09-30,Mexico|South Korea|Taiwan,12,True,True,2,0.036613771825477294,0.03391377182547729,0.036362867508806795
2010-11-30,Mexico|Poland|South Korea,12,True,True,2,0.03975916417263097,0.03705916417263097,0.03969568491722475
2010-12-30,Mexico|Poland|South Korea,5,False,False,0,0.0955950216752903,0.0955950216752903,
2011-03-31,Mexico|Poland|Taiwan,11,True,True,2,0.0010389958577657996,-0.0016610041422342005,0.027671306281018326
2011-04-29,Mexico|Poland|Taiwan,12,True,True,0,0.0162046050738721,0.0162046050738721,-0.011695777504952765
2011-05-31,Mexico|Philippines|Poland,11,True,True,2,-0.008081641207348866,-0.010781641207348865,0.004253364354271705
2011-06-30,Mexico|Philippines|Poland,11,True,True,0,-0.013615097495610498,-0.013615097495610498,-0.025852008568030382
2011-07-29,Mexico|Philippines|Poland,11,True,True,0,0.015996691152717065,0.015996691152717065,0.007262879390074639
2011-09-30,Greece|Mexico|Poland,11,True,True,2,-0.13398614039179835,-0.13668614039179836,-0.08648456216090539
2012-01-31,Greece|Poland|South Korea,12,True,True,2,0.15677766341368307,0.15407766341368306,0.10332076775140742
2012-02-29,Greece|Poland|South Korea,11,True,True,0,-0.0177288171031606,-0.0177288171031606,0.0403564331623496
2012-03-30,Greece|Poland|South Korea,11,True,True,0,-0.0076467862757875335,-0.0076467862757875335,-0.03146454745494631
2012-04-30,Greece|Poland|South Africa,11,True,True,2,-0.028463540839859466,-0.031163540839859467,-0.005064524474505672
2012-05-31,Greece|Poland|South Africa,11,True,True,0,-0.13264919359130967,-0.13264919359130967,-0.047273426426097
2012-06-29,Greece|Poland|South Africa,11,True,True,0,0.05835493422136238,0.05835493422136238,0.01404524140692609
2012-07-31,Greece|Poland,10,True,True,1,-0.0017803538429006002,-0.0031303538429006002,0.04556536479305806
2012-09-28,Greece|South Africa|Taiwan,12,True,True,3,-0.0163449353054621,-0.020394935305462103,0.035399962743894564
2012-10-31,Greece|Mexico|Taiwan,12,True,True,2,0.027124650638371734,0.024424650638371733,-0.014235520166096083
2012-12-28,Greece|Mexico|Taiwan,5,False,False,0,-0.0078089132457864,-0.0078089132457864,
2013-01-31,Greece|Mexico|Turkey,11,True,True,2,0.03992924562152754,0.03722924562152754,-0.013602877709385841
2013-04-30,Greece|Taiwan|Turkey,12,True,True,2,-0.0097164291396769,-0.012416429139676902,-0.01692861267206658
2013-05-31,Greece|Taiwan|Turkey,13,True,True,0,-0.026472491779877,-0.026472491779877,-0.009199205649828568
2013-06-28,Greece|Poland|Thailand,12,True,True,4,-0.0684179461585902,-0.0738179461585902,-0.06911836726797005
2013-07-31,Greece|Poland|Thailand,12,True,True,0,0.03262498613826647,0.03262498613826647,-0.010763216219089045
2013-09-30,Greece|Poland|South Korea,13,True,True,2,0.05678420697615927,0.05408420697615927,0.03925480934772474
2013-10-31,Greece|Poland|South Korea,11,True,True,0,0.0867981108268397,0.0867981108268397,0.04186992996404171
2013-11-29,Greece|Poland|South Korea,11,True,True,0,-0.0021381541824456,-0.0021381541824456,-0.014022705271235503
2014-04-30,Greece|Poland|Taiwan,13,True,True,2,-0.03549753714074373,-0.03819753714074373,-0.003392297537086253
2014-05-30,Greece|Poland|Taiwan,13,True,True,0,0.024880722666013766,0.024880722666013766,0.05132832756589245
2014-06-30,Greece|Poland|Taiwan,13,True,True,0,0.004817398693305402,0.004817398693305402,0.021795740875757197
2014-09-30,Greece|Indonesia|Thailand,12,True,True,4,-0.012519713605807265,-0.017919713605807266,-0.03222338325275875
2014-10-31,Greece|Indonesia|Taiwan,12,True,True,2,-0.033696875243033275,-0.036396875243033276,0.01581749700417201
2014-11-28,Greece|Taiwan|Thailand,12,True,True,2,0.0249136988101339,0.022213698810133898,-0.0035540136460593397
2015-01-30,Greece|Poland|Taiwan,12,True,True,2,-0.04669965584729627,-0.04939965584729627,0.07955062731007101
2015-02-26,Greece|Poland|Taiwan,1,False,False,0,0.0516765870650995,0.0516765870650995,
2015-03-31,Greece|South Korea|Taiwan,12,True,True,2,-0.010091094948124761,-0.012791094948124762,0.030461286569471557
2015-04-30,Greece|Taiwan|Thailand,12,True,True,2,-0.0038522430187784332,-0.006552243018778433,0.03198796321949948
2015-05-29,Greece|South Africa|Thailand,12,True,True,2,-0.02331116447353147,-0.02601116447353147,-0.012908496969808336
2015-06-30,Poland|South Africa|Thailand,12,True,True,2,-0.021989837429897033,-0.024689837429897034,-0.04446701457294
2015-07-31,Poland|Taiwan|Thailand,12,True,True,2,-0.052431725654015195,-0.055131725654015196,-0.05782081031521524
2015-09-30,Poland|Taiwan|Thailand,12,True,True,0,-0.04712992427914627,-0.04712992427914627,-0.024081684638193046
2015-10-30,Poland|Taiwan|Thailand,12,True,True,0,0.0484713448348528,0.0484713448348528,0.08555103521442486
2016-01-29,Greece|Poland|Thailand,13,True,True,2,-0.0774685168576514,-0.08016851685765139,-0.06489545906712135
2016-03-31,Greece|Poland|Thailand,13,True,True,0,0.1077852979970411,0.1077852979970411,0.07764022219678268
2016-04-28,Greece|Poland|Thailand,1,False,False,0,0.0277777777777779,0.0277777777777779,
2016-05-31,Greece|South Korea|Thailand,13,True,True,2,0.05222369179721462,0.04952369179721462,-0.010996406585790042
2016-06-30,Brazil|South Korea|Turkey,13,True,True,4,0.08870046307263436,0.08330046307263436,0.044088445384409036
2016-07-29,South Korea|Thailand|Turkey,13,True,True,2,0.020201875267950004,0.017501875267950003,0.04136794546037903
2016-09-30,Greece|South Korea|Thailand,13,True,True,2,-0.030453548928116633,-0.03315354892811663,0.0065825847278679905
2016-12-29,Greece|South Korea|Thailand,1,False,False,0,0.0133003948210071,0.0133003948210071,
2017-03-31,Brazil|South Korea|Thailand,11,True,True,2,0.005262230459878566,0.002562230459878566,0.016851950068660138
2017-05-31,Poland|South Korea|Thailand,12,True,True,2,-0.0012313114946346342,-0.003931311494634634,-0.004132187119153419
2017-07-31,Brazil|Poland|South Korea,13,True,True,2,0.02981603239586063,0.02711603239586063,0.0208472637519026
2017-09-29,Brazil|Poland|Thailand,13,True,True,2,0.015534029856495433,0.012834029856495434,0.0031792499605121094
2018-04-30,Brazil|Poland|South Korea,13,True,True,2,0.014711811446379598,0.012011811446379597,0.014602017783384547
2018-05-30,Brazil|Poland|South Korea,1,False,False,0,-0.0729292005172776,-0.0729292005172776,
2018-06-29,Brazil|Poland|Turkey,13,True,True,2,-0.054705256756394066,-0.05740525675639407,-0.04490483710214532
2018-07-31,Brazil|Poland|Turkey,13,True,True,0,0.04871513308418066,0.04871513308418066,0.018383979696353192
2018-09-28,Brazil|Poland|South Korea,13,True,True,2,0.019470501629439464,0.016770501629439463,-0.01012343808123517
2018-10-31,Brazil|Poland|South Korea,13,True,True,0,0.003651110012771371,0.003651110012771371,-0.0643204744667567
2018-12-28,Brazil|Poland|South Korea,5,False,False,0,-0.02546741170391925,-0.02546741170391925,
2019-03-29,Brazil|Poland|South Korea,12,True,True,0,-0.017624068255362033,-0.017624068255362033,0.022979506071095335
2019-04-30,Brazil|Greece|South Korea,12,True,True,2,0.0217144348180575,0.0190144348180575,0.01934034788741079
2019-05-31,Brazil|Greece|South Korea,14,True,True,0,-0.013054951154437264,-0.013054951154437264,-0.06547791598406238
2019-06-28,Brazil|South Korea|Turkey,13,True,True,2,0.053728815138410636,0.051028815138410635,0.041426691533906324
2019-07-31,Brazil|South Korea|Turkey,13,True,True,0,0.0489323847335749,0.0489323847335749,0.007975601622878248
2019-08-29,Brazil|South Korea|Turkey,1,False,False,0,-0.106246170295935,-0.106246170295935,
2019-10-31,Brazil|Poland|Turkey,13,True,True,2,-0.011471634042826867,-0.014171634042826866,0.01904929022113766
2019-11-29,Brazil|Poland|Turkey,14,True,True,0,0.005040688120911736,0.005040688120911736,0.009878499771216687
2020-01-31,Brazil|Poland|Turkey,15,True,True,0,-0.026782321427615496,-0.026782321427615496,-0.03334986744641688
2020-03-31,Greece|Poland|Turkey,14,True,True,2,-0.216152697315199,-0.21885269731519902,-0.15959881763792627
2020-03-31,Greece|Poland|Turkey,1,False,False,0,-0.216152697315199,-0.216152697315199,-0.15959881763792627
2020-05-29,Brazil|Greece|Turkey,14,True,True,2,0.04711012141287537,0.04441012141287537,-0.005408362430581515
2020-06-30,Brazil|Greece|Turkey,1,False,False,0,0.024312404944175598,0.024312404944175598,0.06128043293905061
2020-07-30,Brazil|Greece|Turkey,4,False,False,0,-0.131470664299481,-0.131470664299481,
2021-01-29,Indonesia|Poland|Turkey,13,True,True,4,-0.017345371035543535,-0.022745371035543534,0.035374090654435975
2021-03-31,Indonesia|Poland|Turkey,1,False,False,0,-0.0598618229786995,-0.0598618229786995,0.01587406892214971
2021-05-31,Brazil|Indonesia|Poland,14,True,True,2,0.06217909500276473,0.05947909500276473,0.006574117880954633
2021-06-30,Brazil|Poland|Turkey,15,True,True,2,0.019158252587355273,0.01645825258735527,0.036365098912099825
2021-07-30,Indonesia|Poland|Turkey,15,True,True,2,0.01839584963566747,0.015695849635667468,-0.061667023082018324
2021-09-30,Brazil|Mexico|Turkey,15,True,True,4,-0.09321225196438714,-0.09861225196438714,-0.017681202239925864
2021-10-28,Brazil|Mexico|Turkey,1,False,False,0,-0.0045108878642514,-0.0045108878642514,
2022-03-31,Brazil|Poland|Turkey,15,True,True,2,0.09284848593736816,0.09014848593736817,-0.005612562996979764
2022-05-31,Brazil|Poland|Turkey,13,True,True,0,-0.009752030039148063,-0.009752030039148063,-0.01537523222276127
2022-05-31,Brazil|Poland|Turkey,1,False,False,0,-0.009752030039148063,-0.009752030039148063,-0.01537523222276127
2022-06-30,Brazil|South Africa|Turkey,14,True,True,2,-0.11843367953517732,-0.12113367953517731,-0.04941641633600591
2022-09-30,Brazil|Greece|Turkey,14,True,True,2,-0.03068939490200663,-0.03338939490200663,-0.09116355568395573
2023-01-31,Brazil|Poland|Turkey,12,True,True,2,0.0013555597663039338,-0.0013444402336960663,0.06112321780718899
2023-01-31,Brazil|Poland|Turkey,1,False,False,0,0.0013555597663039338,0.0013555597663039338,0.06112321780718899
2023-03-31,Brazil|Saudi Arabia|Turkey,14,True,True,2,-0.038702753565791836,-0.04140275356579184,0.002622893698912776
2023-04-28,Brazil|Poland|Turkey,13,True,True,2,0.01535080540129477,0.01265080540129477,-0.02352164001056667
2023-05-31,Brazil|Poland|Turkey,1,False,False,0,0.018688083704100664,0.018688083704100664,0.02338615233660657
2023-06-27,Brazil|Poland|Turkey,2,False,False,0,-0.0696052168585806,-0.0696052168585806,
2023-07-31,Brazil|Poland|Turkey,14,True,True,0,0.09856220927404742,0.09856220927404742,0.054077797905371705
2023-10-31,Brazil|Poland|Turkey,13,True,True,0,-0.001204602025936502,-0.001204602025936502,-0.03992867779474951
2023-10-31,Brazil|Poland|Turkey,1,False,False,0,-0.001204602025936502,-0.001204602025936502,-0.03992867779474951
2023-11-30,Brazil|Poland|Turkey,14,True,True,0,0.06923264975296156,0.06923264975296156,0.05102651024230731
2024-01-31,Brazil|Poland|Turkey,1,False,False,0,0.021398746402737465,0.021398746402737465,-0.023399911409681118
2024-02-29,Brazil|Poland|Turkey,14,True,True,0,0.035032260138217336,0.035032260138217336,0.04947593652742288
2024-04-30,Brazil|Poland|Turkey,1,False,False,0,0.0356530189704748,0.0356530189704748,0.017079956722184653
2024-05-31,Brazil|Poland|Turkey,14,True,True,0,-0.004338935582188665,-0.004338935582188665,-0.00979178693800109
2024-06-28,Brazil|Malaysia|Turkey,12,True,True,2,-0.004001361750760933,-0.006701361750760933,0.051014190297344886
2024-07-31,Brazil|Malaysia|Turkey,1,False,False,0,0.0073221998143766995,0.0073221998143766995,-0.006161327288404128
2024-08-30,Brazil|Malaysia|Turkey,14,True,True,0,-0.004946093628866333,-0.004946093628866333,-0.005782937263480337
2024-09-30,Brazil|Mexico|Poland,13,True,True,4,-0.019157359915882934,-0.024557359915882933,0.05300107242495211
2024-09-30,Brazil|Mexico|Poland,1,False,False,0,-0.019157359915882934,-0.019157359915882934,0.05300107242495211
2024-10-31,Brazil|Poland|Turkey,14,True,True,2,-0.05520530959927847,-0.05790530959927847,-0.01880627959764536
2024-11-29,Brazil|Mexico|Poland,14,True,True,2,-0.01628955267653317,-0.01898955267653317,-0.007063054390499701
2024-12-31,Brazil|Malaysia|Mexico,12,True,True,2,-0.015101701530061698,-0.0178017015300617,0.0184338587295505
2024-12-31,Brazil|Malaysia|Mexico,1,False,False,0,-0.015101701530061698,-0.015101701530061698,0.0184338587295505
2025-01-31,Brazil|Malaysia|Mexico,13,True,True,0,0.0301033512444443,0.0301033512444443,0.00430943905867287
2025-02-28,Brazil|Malaysia|Mexico,13,True,True,0,-0.0044042926451283645,-0.0044042926451283645,0.002677734222505279
2025-03-31,Brazil|Mexico|Thailand,13,True,True,2,-0.024523181168645238,-0.02722318116864524,-0.033347204730044155
2025-04-30,Mexico|Poland|Thailand,14,True,True,2,0.028156212829024568,0.025456212829024567,-0.03353498324847537
2025-05-30,Brazil|Poland|Thailand,14,True,True,2,-0.005434155830399533,-0.008134155830399534,0.048348825717164035
2025-06-30,Brazil|Poland|Thailand,13,True,True,0,-0.0004378957567187323,-0.0004378957567187323,0.022484299587792522
2025-06-30,Brazil|Poland|Thailand,1,False,False,0,-0.0004378957567187323,-0.0004378957567187323,0.022484299587792522
2025-07-31,Brazil|Poland|Thailand,14,True,True,0,0.05524736925567147,0.05524736925567147,0.047879114910802656
2025-08-29,Brazil|Poland|Thailand,13,True,True,0,-0.0081742656148402,-0.0081742656148402,-0.009418459712237759
2025-09-30,Brazil|Poland|Thailand,1,False,False,0,0.025216304579815534,0.025216304579815534,0.05911865000658145
2025-10-31,Brazil|Poland|Thailand,14,True,True,0,0.05218703359332166,0.05218703359332166,0.060176860890270634
2025-11-28,Brazil|Poland|Thailand,13,True,True,0,0.016223440097554498,0.016223440097554498,-0.029312550667444537
2025-12-31,Brazil|Poland|Thailand,1,False,False,0,0.0111357679452101,0.0111357679452101,0.01540918380945877
2026-01-30,Brazil|Poland|Thailand,14,True,True,0,0.08724690775957233,0.08724690775957233,0.0740219172870098
2026-02-27,Mexico|Poland|Thailand,13,True,True,2,0.09838153688554753,0.09568153688554754,0.05809576330064847
2026-02-27,Mexico|Poland|Thailand,1,False,False,0,0.09838153688554753,0.09838153688554753,0.05809576330064847
2026-03-27,Brazil|Poland|Thailand,12,True,True,2,-0.05774260166121017,-0.06044260166121017,-0.07977272873498709
2026-03-27,Brazil|Poland|Thailand,0,False,False,0,-0.05774260166121017,-0.05774260166121017,-0.07977272873498709
